NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Giannis Antetokounmpo, MIL, PF,25,57, 57, 30.9,10.9,20.0, .547, 1.5,4.8,.306, 9.5, 15.2,.622,.583, 6.3,10.0,.633, 2.3,11.5,13.7,5.8, 1.0, 1.0,3.7,3.0, 29.6
Kostas Antetokounmpo, LAL, PF,22,3, 0, 1.7,0.0,0.0, , 0.0,0.0,, 0.0, 0.0,,, 0.0,0.0,, 0.0,0.3,0.3,0.3, 0.0, 0.0,0.0,0.0, 0.0
Thanasis Antetokounmpo, MIL, SF,27,18, 2, 5.2,1.1,2.0, .528, 0.0,0.4,.000, 1.1, 1.6,.655,.528, 0.4,0.8,.467, 0.6,0.4,1.1,0.5, 0.3, 0.1,0.6,0.7, 2.5
Carmelo Anthony, POR, PF,35,50, 50, 32.5,5.8,13.6, .426, 1.4,3.9,.371, 4.3, 9.7,.447,.479, 2.3,2.7,.843, 1.2,5.0,6.3,1.6, 0.8, 0.5,1.7,2.8, 15.3
OG Anunoby, TOR, SF,22,63, 62, 30.1,4.2,8.4, .507, 1.3,3.4,.381, 2.9, 5.0,.593,.584, 0.9,1.4,.686, 1.2,4.2,5.4,1.6, 1.4, 0.7,1.2,2.5, 10.7
Ryan Arcidiacono, CHI, PG,25,58, 4, 16.0,1.6,3.8, .409, 0.9,2.4,.391, 0.6, 1.4,.439,.532, 0.5,0.7,.711, 0.3,1.6,1.9,1.7, 0.5, 0.1,0.6,1.7, 4.5
Trevor Ariza, TOT, SF,34,53, 21, 28.2,2.7,6.1, .438, 1.5,3.9,.372, 1.2, 2.2,.556,.557, 1.2,1.4,.838, 0.6,4.0,4.6,1.7, 1.3, 0.3,1.1,2.1, 8.0
Trevor Ariza, SAC, SF,34,32, 0, 24.7,2.0,5.2, .388, 1.3,3.8,.352, 0.7, 1.3,.488,.518, 0.7,0.8,.778, 0.7,3.9,4.6,1.6, 1.1, 0.2,0.9,2.0, 6.0
Trevor Ariza, POR, SF,34,21, 21, 33.4,3.7,7.6, .491, 1.6,4.0,.400, 2.1, 3.5,.595,.597, 2.0,2.2,.872, 0.6,4.1,4.8,2.0, 1.6, 0.4,1.3,2.3, 11.0
D.J. Augustin, ORL, PG,32,49, 6, 24.8,3.2,8.1, .393, 1.2,3.6,.345, 2.0, 4.6,.430,.469, 2.8,3.2,.885, 0.4,1.9,2.2,4.6, 0.6, 0.0,1.4,1.1, 10.4
Deandre Ayton, PHO, C,21,30, 25, 33.2,8.5,15.5, .548, 0.0,0.1,.000, 8.5, 15.4,.552,.548, 2.0,2.6,.769, 4.1,7.9,12.0,1.9, 0.7, 1.7,2.4,3.2, 19.0
Dwayne Bacon, CHO, SG,24,39, 11, 17.6,2.2,6.3, .348, 0.5,1.7,.284, 1.7, 4.5,.373,.387, 0.9,1.4,.660, 0.4,2.2,2.6,1.3, 0.6, 0.1,0.9,1.3, 5.7
Marvin Bagley III, SAC, PF,20,13, 6, 25.7,6.0,12.8, .467, 0.3,1.7,.182, 5.7, 11.2,.510,.479, 1.9,2.4,.806, 2.2,5.2,7.5,0.8, 0.5, 0.9,1.4,3.3, 14.2
Lonzo Ball, NOP, PG,22,56, 47, 32.4,4.6,11.2, .412, 2.5,6.5,.383, 2.1, 4.7,.453,.523, 0.7,1.2,.567, 1.1,5.1,6.2,7.0, 1.4, 0.5,3.1,2.0, 12.4
Mo Bamba, ORL, C,21,60, 0, 14.5,2.2,4.7, .468, 0.6,1.7,.356, 1.6, 3.0,.534,.534, 0.5,0.8,.674, 1.6,3.4,5.0,0.7, 0.4, 1.4,0.7,1.9, 5.5
J.J. Barea, DAL, PG,35,26, 4, 15.0,2.8,6.9, .413, 1.1,2.9,.382, 1.7, 4.0,.437,.494, 0.7,0.7,.944, 0.4,1.5,1.8,3.8, 0.2, 0.1,1.3,1.0, 7.5
Harrison Barnes, SAC, PF,27,64, 64, 34.9,5.1,11.1, .459, 1.5,3.8,.383, 3.6, 7.3,.498,.524, 3.1,3.8,.803, 1.0,3.8,4.8,2.4, 0.6, 0.2,1.3,1.3, 14.7
RJ Barrett, NYK, SG,19,56, 55, 30.4,5.2,13.0, .402, 1.1,3.5,.320, 4.1, 9.5,.432,.445, 2.8,4.5,.614, 0.9,4.1,5.0,2.6, 1.0, 0.3,2.2,2.2, 14.3
Will Barton, DEN, SF,29,58, 58, 33.0,5.7,12.7, .450, 1.9,5.0,.375, 3.9, 7.8,.498,.523, 1.8,2.3,.767, 1.3,5.0,6.3,3.7, 1.1, 0.5,1.5,2.1, 15.1
Keita Bates-Diop, TOT, SF,24,39, 0, 17.1,2.3,5.3, .428, 0.8,2.4,.330, 1.5, 2.9,.509,.502, 1.3,1.8,.710, 0.5,2.3,2.9,0.8, 0.4, 0.5,0.4,1.0, 6.6
Keita Bates-Diop, MIN, SF,24,37, 0, 17.5,2.4,5.6, .422, 0.8,2.5,.330, 1.5, 3.0,.500,.498, 1.2,1.8,.708, 0.6,2.4,3.0,0.8, 0.5, 0.5,0.4,1.0, 6.8
Keita Bates-Diop, DEN, SF,24,2, 0, 9.5,1.0,1.0, 1.000, 0.0,0.0,, 1.0, 1.0,1.000,1.000, 1.5,2.0,.750, 0.0,1.0,1.0,0.0, 0.0, 0.5,0.0,1.0, 3.5
Nicolas Batum, CHO, SF,31,22, 3, 23.0,1.3,3.7, .346, 0.6,2.2,.286, 0.6, 1.5,.438,.432, 0.4,0.5,.900, 1.1,3.4,4.5,3.0, 0.8, 0.4,1.0,1.9, 3.6
Aron Baynes, PHO, C,33,42, 28, 22.2,4.4,9.1, .480, 1.4,4.0,.351, 3.0, 5.1,.582,.558, 1.3,1.8,.747, 1.7,4.0,5.6,1.6, 0.2, 0.5,1.2,3.4, 11.5
Kent Bazemore, TOT, SF-SG,30,64, 21, 25.1,2.9,7.7, .374, 1.2,3.6,.342, 1.7, 4.2,.401,.453, 1.7,2.2,.768, 0.4,4.0,4.3,1.3, 1.1, 0.6,1.3,2.8, 8.7
Kent Bazemore, POR, SF,30,43, 21, 25.8,2.6,7.6, .347, 1.3,4.0,.327, 1.3, 3.6,.368,.433, 1.3,1.7,.806, 0.3,3.7,4.0,1.4, 1.0, 0.7,1.4,2.8, 7.9
Kent Bazemore, SAC, SG,30,21, 0, 23.5,3.4,8.0, .426, 1.0,2.7,.386, 2.4, 5.3,.446,.491, 2.4,3.3,.729, 0.5,4.5,5.0,1.1, 1.2, 0.4,1.2,2.9, 10.3
Darius Bazley, OKC, PF,19,53, 8, 17.2,1.7,4.3, .383, 0.6,1.9,.300, 1.1, 2.5,.446,.448, 0.6,0.9,.681, 0.4,3.3,3.7,0.5, 0.4, 0.7,0.8,0.8, 4.5
Bradley Beal, WAS, SG,26,57, 57, 36.0,10.4,22.9, .455, 3.0,8.4,.353, 7.4, 14.4,.515,.520, 6.8,8.0,.842, 0.9,3.3,4.2,6.1, 1.2, 0.4,3.4,2.2, 30.5
Malik Beasley, TOT, SG,23,55, 14, 22.0,4.1,9.7, .425, 1.9,5.0,.388, 2.2, 4.7,.465,.525, 1.0,1.2,.818, 0.3,2.4,2.7,1.4, 0.7, 0.1,1.0,1.4, 11.2
Malik Beasley, DEN, SG,23,41, 0, 18.2,2.9,7.3, .389, 1.4,3.9,.360, 1.4, 3.4,.421,.485, 0.8,0.9,.868, 0.2,1.7,1.9,1.2, 0.8, 0.1,0.9,1.2, 7.9
Malik Beasley, MIN, SG,23,14, 14, 33.1,7.9,16.6, .472, 3.5,8.2,.426, 4.4, 8.4,.517,.577, 1.5,2.0,.750, 0.6,4.4,5.1,1.9, 0.6, 0.1,1.5,1.9, 20.7
Marco Belinelli, SAS, SG,33,52, 0, 15.0,2.0,5.2, .391, 1.1,3.0,.368, 0.9, 2.2,.422,.496, 0.6,0.8,.780, 0.1,1.7,1.7,1.2, 0.2, 0.0,0.3,0.8, 5.8
Jordan Bell, TOT, C-PF,25,29, 0, 8.8,1.2,2.3, .522, 0.1,0.4,.333, 1.1, 1.9,.564,.552, 0.7,1.1,.613, 1.0,1.8,2.8,0.6, 0.1, 0.3,0.7,0.7, 3.2
Jordan Bell, MIN, C,25,27, 0, 8.7,1.2,2.2, .533, 0.1,0.3,.222, 1.1, 1.9,.588,.550, 0.6,1.1,.586, 1.0,1.9,2.9,0.5, 0.1, 0.4,0.7,0.6, 3.1
Jordan Bell, MEM, PF,25,2, 0, 10.5,1.5,3.5, .429, 1.0,1.5,.667, 0.5, 2.0,.250,.571, 1.0,1.0,1.000, 1.0,0.5,1.5,1.0, 0.5, 0.0,1.5,1.0, 5.0
DeAndre' Bembry, ATL, SG,25,43, 4, 21.3,2.4,5.3, .456, 0.3,1.5,.231, 2.1, 3.8,.546,.489, 0.6,1.1,.542, 0.8,2.7,3.5,1.9, 1.3, 0.4,1.4,2.0, 5.8
Dragan Bender, TOT, SF,22,16, 3, 17.9,2.6,5.8, .446, 0.9,2.7,.349, 1.6, 3.1,.531,.527, 0.6,0.9,.714, 1.0,3.6,4.6,1.8, 0.3, 0.6,1.3,2.6, 6.7
Dragan Bender, MIL, SF,22,7, 0, 13.0,1.4,3.0, .476, 0.6,1.3,.444, 0.9, 1.7,.500,.571, 0.3,0.4,.667, 0.0,2.9,2.9,1.3, 0.0, 0.7,0.7,2.3, 3.7
Dragan Bender, GSW, SF,22,9, 3, 21.7,3.4,7.9, .437, 1.2,3.8,.324, 2.2, 4.1,.541,.514, 0.9,1.2,.727, 1.8,4.1,5.9,2.1, 0.4, 0.4,1.8,2.9, 9.0
Dāvis Bertāns, WAS, PF,27,54, 4, 29.3,4.9,11.3, .434, 3.7,8.7,.424, 1.2, 2.6,.471,.598, 1.9,2.3,.852, 0.6,3.9,4.5,1.7, 0.7, 0.6,1.1,2.6, 15.4
Patrick Beverley, LAC, PG,31,48, 48, 27.1,2.9,6.8, .428, 1.6,4.1,.379, 1.3, 2.6,.504,.543, 0.6,0.9,.659, 1.2,4.2,5.4,3.7, 1.1, 0.5,1.3,3.1, 7.9
Khem Birch, ORL, C,27,40, 24, 19.4,1.4,2.9, .487, 0.0,0.0,.000, 1.4, 2.9,.491,.487, 1.0,1.7,.612, 1.8,2.8,4.5,0.9, 0.4, 0.5,0.6,1.8, 3.8
Goga Bitadze, IND, C,20,49, 2, 8.4,1.2,2.6, .473, 0.1,0.7,.167, 1.1, 1.9,.591,.496, 0.5,0.7,.727, 0.4,1.5,2.0,0.4, 0.1, 0.7,0.5,1.2, 3.1
Bismack Biyombo, CHO, C,27,53, 29, 19.4,2.8,5.2, .543, 0.0,0.0,, 2.8, 5.2,.543,.543, 1.7,2.8,.603, 2.3,3.5,5.8,0.9, 0.2, 0.9,0.9,2.2, 7.4
Nemanja Bjelica, SAC, PF,31,64, 61, 28.5,4.5,9.4, .475, 2.0,4.6,.424, 2.5, 4.8,.524,.579, 0.9,1.1,.822, 1.7,4.8,6.4,2.8, 0.8, 0.5,1.4,3.0, 11.9
Eric Bledsoe, MIL, PG,30,56, 56, 27.2,5.7,11.8, .482, 1.3,3.6,.348, 4.4, 8.2,.540,.535, 2.8,3.4,.813, 0.7,3.9,4.6,5.4, 0.9, 0.4,2.5,2.1, 15.4
Bogdan Bogdanović, SAC, SG,27,53, 20, 28.5,5.2,12.1, .433, 2.6,7.2,.361, 2.6, 4.9,.541,.541, 1.4,2.0,.724, 0.3,2.9,3.2,3.2, 1.0, 0.3,1.7,2.2, 14.5
Bojan Bogdanović, UTA, SF,30,63, 63, 33.1,6.6,14.8, .447, 3.0,7.3,.414, 3.6, 7.6,.479,.548, 4.0,4.4,.903, 0.6,3.5,4.1,2.1, 0.5, 0.1,2.5,1.7, 20.2
Jonah Bolden, TOT, PF,24,7, 0, 6.7,0.6,1.6, .364, 0.0,0.6,.000, 0.6, 1.0,.571,.364, 0.3,0.6,.500, 0.4,0.9,1.3,0.0, 0.4, 0.3,0.3,1.4, 1.4
Jonah Bolden, PHI, PF,24,4, 0, 3.5,0.5,0.8, .667, 0.0,0.3,.000, 0.5, 0.5,1.000,.667, 0.0,0.5,.000, 0.0,0.3,0.3,0.0, 0.3, 0.0,0.5,1.0, 1.0
Jonah Bolden, PHO, PF,24,3, 0, 11.0,0.7,2.7, .250, 0.0,1.0,.000, 0.7, 1.7,.400,.250, 0.7,0.7,1.000, 1.0,1.7,2.7,0.0, 0.7, 0.7,0.0,2.0, 2.0
Marques Bolden, CLE, C,21,1, 0, 3.0,0.0,0.0, , 0.0,0.0,, 0.0, 0.0,,, 0.0,0.0,, 0.0,2.0,2.0,0.0, 1.0, 0.0,0.0,1.0, 0.0
Jordan Bone, DET, PG,22,10, 0, 5.3,0.5,2.0, .250, 0.2,1.0,.200, 0.3, 1.0,.300,.300, 0.0,0.0,, 0.0,0.4,0.4,0.8, 0.1, 0.0,0.2,0.6, 1.2
Isaac Bonga, WAS, SF,20,58, 41, 17.7,1.7,3.2, .522, 0.4,0.9,.400, 1.3, 2.2,.574,.582, 0.9,1.1,.813, 1.1,2.1,3.2,1.1, 0.6, 0.4,0.7,2.3, 4.6
Devin Booker, PHO, SG,23,62, 62, 36.1,8.8,18.0, .487, 2.0,5.6,.360, 6.7, 12.4,.544,.543, 6.5,7.1,.916, 0.4,3.7,4.2,6.6, 0.7, 0.3,3.9,3.0, 26.1
Chris Boucher, TOR, PF,27,55, 0, 13.2,2.2,4.7, .458, 0.5,1.8,.283, 1.7, 2.9,.565,.512, 1.5,1.9,.796, 1.7,2.7,4.4,0.4, 0.4, 1.0,0.4,1.9, 6.3
Brian Bowen, IND, SG,21,5, 1, 5.8,0.4,1.8, .222, 0.0,0.4,.000, 0.4, 1.4,.286,.222, 0.0,0.0,, 0.2,1.2,1.4,0.0, 0.0, 0.2,0.2,0.4, 0.8
Ky Bowman, GSW, PG,22,45, 12, 22.6,3.0,7.1, .417, 0.7,2.4,.308, 2.2, 4.8,.472,.469, 0.8,0.9,.829, 0.5,2.2,2.7,2.9, 1.0, 0.2,1.6,2.3, 7.4
Avery Bradley, LAL, SG,29,49, 44, 24.2,3.5,7.8, .444, 1.3,3.5,.364, 2.2, 4.3,.510,.526, 0.4,0.5,.833, 0.4,2.0,2.3,1.3, 0.9, 0.1,1.0,2.2, 8.6
Tony Bradley, UTA, C,22,50, 2, 10.7,2.1,3.1, .665, 0.0,0.0,1.000, 2.0, 3.1,.662,.668, 0.5,0.8,.650, 1.8,2.5,4.3,0.3, 0.2, 0.5,0.5,2.0, 4.7
Jarrell Brantley, UTA, PF,23,5, 0, 2.6,0.0,0.0, , 0.0,0.0,, 0.0, 0.0,,, 0.0,0.0,, 0.0,1.0,1.0,0.2, 0.0, 0.4,0.4,0.4, 0.0
Ignas Brazdeikis, NYK, SF,21,9, 0, 5.9,0.7,2.4, .273, 0.1,1.0,.111, 0.6, 1.4,.385,.295, 0.4,0.6,.800, 0.2,0.3,0.6,0.4, 0.0, 0.1,0.2,0.3, 1.9
Mikal Bridges, PHO, SF,23,65, 24, 27.3,3.2,6.3, .516, 0.9,2.4,.352, 2.4, 3.8,.621,.585, 1.4,1.6,.848, 0.9,3.1,4.0,1.8, 1.4, 0.6,1.0,2.2, 8.7
Miles Bridges, CHO, SF,21,65, 64, 30.7,4.9,11.6, .424, 1.5,4.6,.330, 3.4, 7.0,.486,.489, 1.6,2.0,.809, 1.4,4.2,5.6,1.8, 0.6, 0.7,1.5,2.0, 13.0
Oshae Brissett, TOR, SF,21,19, 0, 7.1,0.7,1.9, .361, 0.2,0.8,.200, 0.5, 1.1,.476,.403, 0.4,0.5,.800, 0.5,0.9,1.4,0.4, 0.2, 0.1,0.4,0.9, 1.9
Ryan Broekhoff, DAL, SG,29,17, 1, 10.6,1.3,3.5, .373, 1.2,3.0,.392, 0.1, 0.5,.250,.542, 0.4,0.5,.875, 0.3,2.2,2.5,0.6, 0.3, 0.2,0.4,0.9, 4.2
Malcolm Brogdon, IND, PG,27,48, 48, 30.7,6.0,13.7, .439, 1.3,4.1,.313, 4.8, 9.7,.491,.485, 3.0,3.4,.895, 0.8,3.9,4.7,7.1, 0.7, 0.2,2.4,1.8, 16.3
Dillon Brooks, MEM, SG,24,65, 65, 28.5,5.7,14.2, .402, 2.0,5.5,.369, 3.7, 8.7,.423,.474, 2.2,2.7,.809, 0.9,2.3,3.3,2.0, 0.9, 0.4,1.7,3.8, 15.7
Bruce Brown, DET, SG,23,58, 43, 28.2,3.4,7.7, .443, 0.6,1.7,.344, 2.8, 6.1,.470,.480, 1.5,2.1,.739, 1.1,3.7,4.7,4.0, 1.1, 0.5,1.7,2.8, 8.9
Charlie Brown, ATL, SG,22,10, 0, 4.0,0.6,1.9, .316, 0.3,0.9,.333, 0.3, 1.0,.300,.395, 0.5,0.5,1.000, 0.2,0.2,0.4,0.2, 0.2, 0.2,0.3,0.3, 2.0
Jaylen Brown, BOS, SF,23,50, 50, 34.0,7.6,15.4, .490, 2.1,5.6,.381, 5.4, 9.8,.552,.559, 3.2,4.3,.736, 1.1,5.3,6.4,2.2, 1.1, 0.3,2.3,3.0, 20.4
Moses Brown, POR, C,20,9, 0, 3.7,0.4,1.1, .400, 0.0,0.0,, 0.4, 1.1,.400,.400, 0.3,0.9,.375, 0.3,1.2,1.6,0.1, 0.1, 0.1,0.3,0.8, 1.2
Sterling Brown, MIL, SF,24,45, 1, 14.8,1.8,4.8, .367, 0.8,2.5,.316, 1.0, 2.3,.423,.450, 0.6,0.8,.771, 0.6,3.0,3.7,1.0, 0.5, 0.2,0.8,1.0, 5.0
Troy Brown Jr., WAS, SG,20,61, 14, 24.9,3.8,8.3, .453, 0.8,2.4,.345, 2.9, 5.9,.496,.502, 1.4,1.9,.754, 1.0,4.3,5.3,2.3, 1.2, 0.1,1.1,1.8, 9.7
Jalen Brunson, DAL, PG,23,57, 16, 17.9,3.2,6.8, .466, 0.8,2.1,.358, 2.4, 4.7,.515,.522, 1.1,1.3,.813, 0.4,2.0,2.4,3.3, 0.4, 0.1,1.2,1.3, 8.2
Thomas Bryant, WAS, C,22,38, 28, 23.7,4.8,8.1, .599, 0.6,1.4,.407, 4.3, 6.7,.640,.635, 1.8,2.5,.737, 2.0,4.9,6.8,1.9, 0.4, 0.9,1.3,2.2, 12.1
Reggie Bullock, NYK, SG,28,29, 19, 23.6,3.1,7.7, .402, 1.3,3.8,.333, 1.8, 3.9,.469,.484, 0.6,0.7,.810, 0.4,1.9,2.3,1.4, 0.9, 0.1,0.7,1.9, 8.1
Trey Burke, PHI, PG,27,25, 0, 13.2,2.4,5.1, .465, 0.6,1.5,.421, 1.7, 3.6,.483,.528, 0.5,0.7,.722, 0.6,0.8,1.4,2.1, 0.3, 0.0,0.5,0.8, 5.9
Alec Burks, TOT, SG,28,59, 18, 27.3,4.8,11.9, .404, 1.7,4.6,.366, 3.1, 7.3,.428,.475, 3.8,4.3,.896, 0.7,3.7,4.4,2.9, 1.0, 0.3,1.4,2.0, 15.1
Alec Burks, GSW, SG,28,48, 18, 29.0,5.1,12.5, .406, 1.8,4.7,.375, 3.3, 7.9,.424,.476, 4.2,4.7,.897, 0.8,3.9,4.7,3.1, 1.0, 0.4,1.6,2.2, 16.1
Alec Burks, PHI, SG,28,11, 0, 20.2,3.5,9.1, .390, 1.5,4.5,.327, 2.1, 4.6,.451,.470, 2.2,2.5,.889, 0.5,2.7,3.3,1.8, 0.7, 0.0,0.8,1.2, 10.7
Deonte Burton, OKC, SG,26,34, 0, 8.4,1.1,3.1, .371, 0.3,1.4,.217, 0.9, 1.7,.492,.419, 0.2,0.4,.500, 0.2,1.2,1.4,0.3, 0.1, 0.3,0.4,0.8, 2.8
Jimmy Butler, MIA, SF,30,54, 54, 34.3,6.1,13.4, .454, 0.5,2.2,.248, 5.5, 11.2,.494,.474, 7.6,9.1,.833, 1.8,4.8,6.6,6.1, 1.7, 0.5,2.2,1.4, 20.2
Bruno Caboclo, TOT, SF,24,27, 0, 8.1,1.2,2.9, .416, 0.1,1.0,.143, 1.0, 1.8,.571,.442, 0.1,0.2,.800, 0.8,1.1,2.0,0.4, 0.4, 0.6,0.3,0.9, 2.7
Bruno Caboclo, MEM, SF,24,22, 0, 8.7,1.3,3.1, .406, 0.2,1.1,.160, 1.1, 2.0,.545,.435, 0.1,0.1,.667, 0.8,1.2,2.0,0.5, 0.5, 0.5,0.3,1.0, 2.8
Bruno Caboclo, HOU, SF,24,5, 0, 5.6,0.8,1.6, .500, 0.0,0.6,.000, 0.8, 1.0,.800,.500, 0.4,0.4,1.000, 1.0,0.8,1.8,0.4, 0.4, 0.8,0.4,0.4, 2.0
Kentavious Caldwell-Pope, LAL, SG,26,63, 20, 25.4,3.5,7.4, .472, 1.4,3.5,.394, 2.1, 3.9,.543,.565, 1.2,1.5,.779, 0.6,1.5,2.1,1.7, 0.8, 0.2,0.9,1.9, 9.5
Vlatko Čančar, DEN, SF,22,14, 0, 3.2,0.4,1.1, .400, 0.1,0.4,.167, 0.4, 0.6,.556,.433, 0.3,0.3,1.000, 0.4,0.4,0.7,0.2, 0.1, 0.1,0.2,0.5, 1.2
Clint Capela, HOU, C,25,39, 39, 32.8,6.3,9.9, .629, 0.0,0.0,, 6.3, 9.9,.629,.629, 1.4,2.7,.529, 4.3,9.5,13.8,1.2, 0.8, 1.8,1.6,2.6, 13.9
DeMarre Carroll, TOT, SF,33,21, 0, 11.0,1.0,2.6, .389, 0.3,1.3,.259, 0.7, 1.3,.519,.454, 1.1,1.7,.667, 0.5,1.7,2.2,0.9, 0.2, 0.2,0.8,1.3, 3.5
DeMarre Carroll, SAS, SF,33,15, 0, 9.0,0.6,1.9, .310, 0.2,0.9,.231, 0.4, 1.1,.375,.362, 0.8,1.3,.600, 0.5,1.6,2.1,0.7, 0.1, 0.1,0.7,1.3, 2.2
DeMarre Carroll, HOU, SF,33,6, 0, 16.0,2.0,4.2, .480, 0.7,2.3,.286, 1.3, 1.8,.727,.560, 2.0,2.7,.750, 0.7,2.0,2.7,1.2, 0.3, 0.3,1.0,1.3, 6.7
Jevon Carter, PHO, PG,24,50, 2, 15.1,1.6,4.1, .400, 0.9,2.3,.393, 0.7, 1.8,.409,.512, 0.4,0.5,.840, 0.5,1.5,2.0,1.3, 0.8, 0.3,0.6,1.5, 4.6
Vince Carter, ATL, SF,43,60, 0, 14.6,1.8,5.1, .352, 1.0,3.4,.302, 0.8, 1.7,.451,.452, 0.4,0.5,.793, 0.3,1.8,2.1,0.8, 0.4, 0.4,0.6,1.5, 5.0
Wendell Carter Jr., CHI, C,20,43, 43, 29.2,4.3,8.0, .534, 0.1,0.7,.207, 4.1, 7.3,.564,.542, 2.6,3.5,.737, 3.2,6.2,9.4,1.2, 0.8, 0.8,1.7,3.8, 11.3
Michael Carter-Williams, ORL, SG,28,42, 0, 18.4,2.5,5.8, .434, 0.5,1.6,.294, 2.0, 4.1,.489,.475, 1.7,2.1,.828, 1.0,2.3,3.3,2.4, 1.1, 0.5,1.1,1.9, 7.2
Alex Caruso, LAL, PG,25,58, 1, 17.8,1.9,4.5, .423, 0.7,1.8,.355, 1.2, 2.6,.471,.496, 1.0,1.3,.763, 0.2,1.7,1.9,1.8, 1.0, 0.3,0.8,1.5, 5.4
Willie Cauley-Stein, TOT, C,26,54, 39, 20.3,3.2,5.6, .579, 0.0,0.0,.000, 3.2, 5.6,.581,.579, 0.7,1.2,.606, 1.6,4.3,5.8,1.3, 0.9, 1.1,0.7,2.2, 7.2
Willie Cauley-Stein, GSW, C,26,41, 37, 22.9,3.5,6.3, .560, 0.0,0.0,, 3.5, 6.3,.560,.560, 0.9,1.4,.614, 1.7,4.5,6.2,1.5, 1.1, 1.2,0.9,2.5, 7.9
Willie Cauley-Stein, DAL, C,26,13, 2, 12.1,2.4,3.5, .689, 0.0,0.1,.000, 2.4, 3.4,.705,.689, 0.4,0.7,.556, 1.0,3.6,4.6,0.8, 0.3, 0.8,0.4,1.5, 5.2
Tyson Chandler, HOU, C,37,26, 5, 8.4,0.5,0.7, .778, 0.0,0.0,, 0.5, 0.7,.778,.778, 0.2,0.5,.462, 1.0,1.6,2.5,0.2, 0.2, 0.3,0.3,1.2, 1.3
Wilson Chandler, BRK, SF,32,35, 3, 21.0,2.1,5.2, .404, 1.1,3.5,.306, 1.1, 1.8,.597,.505, 0.6,0.7,.870, 0.3,3.8,4.1,1.1, 0.5, 0.3,1.0,2.3, 5.9
Joe Chealey, CHO, PG,24,4, 0, 8.3,0.0,1.8, .000, 0.0,1.0,.000, 0.0, 0.8,.000,.000, 0.5,0.5,1.000, 0.0,0.0,0.0,0.3, 1.0, 0.0,0.5,0.5, 0.5
Zylan Cheatham, NOP, SF,24,3, 0, 10.3,0.7,1.7, .400, 0.0,0.3,.000, 0.7, 1.3,.500,.400, 0.0,0.0,, 0.3,1.7,2.0,0.7, 0.0, 0.3,1.0,1.7, 1.3
